Data Scientist,https://krasnodar.hh.ru/vacancy/54979394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Cитидрайв,https://hh.ru/,,,
Senior Research Engineer / Data Scientist,https://krasnodar.hh.ru/vacancy/50996908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,The Skolkovo Institute of Science and Technology,https://hh.ru/,,,
Senior Research Engineer / Data Scientist,https://krasnodar.hh.ru/vacancy/50996908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,The Skolkovo Institute of Science and Technology,https://hh.ru/,,,
"Ведущий аналитик/Senior data Scientist/Data Analyst (Machine learning, ML, нейронные сети)",https://krasnodar.hh.ru/vacancy/50981618?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ПАО ТрансКонтейнер,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/54753402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО Кловер Групп,https://hh.ru/,250000300000.0,250000300000.0,руб.
Python developer (MLOps),https://krasnodar.hh.ru/vacancy/55856392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Wisebits,https://hh.ru/,3500.0,3500.0,EUR
Data Science Team Lead,https://krasnodar.hh.ru/vacancy/50442368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,билайн: ИТ и Digital,https://hh.ru/,,,
"Machine Learning Engineer (ML, Infrastructure)",https://krasnodar.hh.ru/vacancy/53209019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Greenscreens.AI,https://hh.ru/,3000.0,3000.0,EUR
Senior Data Scientist/ML Engineer SberDevices,https://krasnodar.hh.ru/vacancy/53269426?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер для экспертов,https://hh.ru/,,,
Senior Data Scientist,https://krasnodar.hh.ru/vacancy/55458328?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Pre-Interviews,https://hh.ru/,20003000.0,20003000.0,USD
Data Scientist,https://krasnodar.hh.ru/vacancy/54908640?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО НТехЛаб,https://hh.ru/,,,
Junior Data Scientist Управления модельных рисков и валидации,https://krasnodar.hh.ru/vacancy/55373640?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Банк ВТБ (ПАО),https://hh.ru/,,,
Lead Data Scientist,https://krasnodar.hh.ru/vacancy/55474355?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер. Data Science,https://hh.ru/,,,
Data scientist по построению моделей оценки кредитного риска (Big Data),https://krasnodar.hh.ru/vacancy/43366306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Банк ВТБ (ПАО),https://hh.ru/,,,
Data scientist (разработка моделей оценки кредитного риска для клиентов корпоративного бизнеса),https://krasnodar.hh.ru/vacancy/55531454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Банк ВТБ (ПАО),https://hh.ru/,,,
Data Scientist (Remote),https://krasnodar.hh.ru/vacancy/55415075?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО АБК,https://hh.ru/,,,
"Data scientist / Machine learning engineer (команда рекомендаций и машинного обучения, ВКонтакте)",https://krasnodar.hh.ru/vacancy/55357188?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"VK, Социальные сети, Одноклассники",https://hh.ru/,,,
Team Lead Data Scientist Департамента машинного обучения и работе с данными,https://krasnodar.hh.ru/vacancy/50141582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,АльфаСтрахование,https://hh.ru/,,,
